天然要害沙斯塔夏溶洞,/p,"注意：由于此副本为新人第一个开启的迷宫挑战，故此攻略说明较为详细，回坑玩家请简单看看。
· 当前副本：天然要害沙斯塔夏溶洞
· 攻略来源：灰机Wiki
---------------------开始前的注意事项---------------------
请T（蓝色图标）检查自己的盾姿是否开启
请N（绿色图标）、DPS（红色图标）等待T开怪以避免仇恨到自己身上
若出现OT（非防护职业成为怪物的攻击目标），请将怪引到T附近，T及时挑衅
请所有人确保已经将自己的技能拖到热键栏当中
--------------------------锐牙长须豹--------------------------
请触摸珊瑚开启机关（正确的颜色记载于路途上的笔记当中）
蓄能晶须：生成一个自身中心范围5米的AOE（俗称钢铁），被击中后会中麻痹DEBUFF，请及时避开。此技能可以使用眩晕类技能打断读条阻止释放。","
--------------------------麦迪逊船长--------------------------
无特殊机制。BOSS在50%血量时会落荒而逃
--------------------------海虎牙 邓恩-------------------------
当BOSS血量降至80%后，会提示“水面出现了很多气泡”，请查看“奇怪的涟漪”是否有水柱冒出，有的话请前去右键点击“奇怪的涟漪”处理机制
当BOSS血量降至60%后，会再一次产生水柱，此次将有三处产生水柱，请至少两位队员前去处理
当BOSS血量降至40%后，会最后一次产生水柱，这次所有点都将产生水柱，请所有人都前去处理
BOSS会释放默水球，请躲避不要被击中
由于当前装等过高，因此以上机制也可以不用去管，直接输出BOSS即可，DPS记得使用极限技（俗称LB，在技能菜单→共通技能当中）
------------------------------------------------------------------
在打完本后不要忘记给队友发一句“辛苦了”。如果是随机的队友也请记得给队友一个免费的赞，国服一般默认对位互赞（T→N，DPS→DPS）。
------------------------------------------------------------------"
地下灵殿塔姆·塔拉墓园,/p,"· 当前副本：地下灵殿塔姆·塔拉墓园
· 攻略来源：灰机Wiki
----------------------------虚无魂魔---------------------------
先击杀连线小怪，同时躲避AOE，击杀BOSS后触摸水晶
-----------------------主宰者 加尔梵斯----------------------
优先击杀连线小怪，T记得拉住其他小怪，同时注意躲开BOSS的AOE
由于当前装等过高，因此以上机制也可以不用去管，直接输出BOSS即可，DPS记得使用极限技（俗称LB，在技能菜单→共通技能当中）",
,,,
,,,
,,,
水晶塔 古代人迷宫,/a,"· 当前副本：水晶塔 古代人迷宫
· 攻略来源：灰机Wiki
-----------------------------骸骨龙----------------------------
开场：请MT拉BOSS背对人群
召唤小怪：请尽可能拉到场地边缘，远离BOSS后击杀
BOSS复活：集中火力击杀小怪和BOSS，一旦小怪接触BOSS后释放全屏AOE，请注意治疗
----------------------------阿托莫斯---------------------------
请注意自己所属的小队，从左至右依次为A、B、C队，每队选出四名队员踩在有颜色的地板上，其余四人对BOSS及小怪进行输出
----------------------------塔纳托斯---------------------------
请具有Debuff（灵魂分离）的人攻击BOSS，其余清理场上的小怪
同时优先击杀攻击魔法壶的小怪，魔法壶可以被治疗，请确保其存活","
---------------------------贝希摩斯王--------------------------
在场地四周有四个电塔，需要周期性将其关闭，否则全场会有越来越高的AOE伤害
若头上出现绿色标记，请找中场附近远离小怪的地方放陨石
当BOSS读条黄道陨石时，请躲到陨石后规避伤害，并且请小怪当前第一仇恨的人不要将面向对向人群和陨石
------------------------------提坦------------------------------
请注意自己所属的小队，从左至右依次为A、B、C队
开场：请MT把BOSS拉到中场靠前位置，方便其他人跑位
BOSS读条普通技能：地上有范围提示，躲避即可
小怪出现：集火小怪解救被困的人
BOSS读条远古核爆：前往自己所在小队的位置集合开启防御罩，并且击杀小怪
------------------------------------------------------------------"
,,,
,,,
迦楼罗歼殛战,/p,"· 当前副本：迦楼罗歼殛战
· 攻略来源：灰机Wiki，小怪阶段采用三分法
· 站位一览：无，请灵性分散
-----------------------------时间轴-----------------------------
开场：请MT拉BOSS背对人群
上天1：请前往石柱背后躲避寒风之啸，判定后再走出石柱
召唤分身：请MT拉【迦楼罗】，ST拉【美翼】，DPS拉【妙翅】并远离石柱。击杀顺序为【妙翅】→【美翼】→【迦楼罗】
召唤羽毛1：优先击杀【柔羽】，再请在绿色光球爆炸前击杀绿色光球
上天2：请前往石柱背后躲避大气爆发，石柱数量或完整度不够会导致团灭
召唤羽毛2：请先攻击除了【刺羽】以外的羽毛，在BOSS第三次上天时击杀【刺羽】，生成防护罩躲避落地AOE","
-------------------------重要机制说明------------------------
· BOSS技能：
螺旋气流：正面无范围提示读条技能，附带眩晕debuff，请躲开正面回避
邪轮旋风：顺发钢铁（BOSS周围圆形AOE），请远离BOSS回避
· 羽毛技能：
柔羽：释放全屏睡眠的技能，请及时击杀
妙翅：点名一人定身并释放需要分摊的AOE
刺羽：对当前仇恨目标叠加低气压debuff，叠到3层时换T。
------------------------------------------------------------------"
